drugbank_id,interactant_id,action
DB11855,BE0000530,binder
DB11886,BE0010065,binder
DB11901,BE0000530,binder
DB11943,BE0000530,substrate
DB11963,BE0000530,binder
DB11967,BE0000530,binder
DB11978,BE0000530,binder
DB11978,BE0004879,binder
DB12001,BE0000530,binder
DB12001,BE0004879,binder
DB12005,BE0000530,binder
DB12005,BE0004879,binder
DB12095,BE0001067,binder
DB12141,BE0000530,binder
DB12147,BE0004879,binder
DB12235,BE0000530,binder
DB12235,BE0000925,binder
DB12243,BE0000530,binder
DB12255,BE0000530,binder
DB12404,BE0000530,binder
DB12425,BE0000537,substrate
DB12466,BE0000530,carrier
DB12466,BE0004879,carrier
DB12471,BE0000530,binder
DB12483,BE0000530,substrate
DB12674,BE0000530,binder
DB12674,BE0000925,binder
DB12836,BE0000530,substrate
DB12874,BE0000530,binder
DB12941,BE0000530,binder
DB12978,BE0000530,binder
DB12978,BE0000925,binder
DB13310,BE0000530,binder
DB13396,BE0000537,substrate
DB13421,BE0000530,binder
DB13514,BE0000530,regulator
DB13751,BE0000438,substrate
DB13751,BE0000592,substrate
DB13751,BE0000622,substrate
DB13751,BE0000530,binder
DB13867,BE0001032,substrate
DB13867,BE0001004,inhibitor
DB13874,BE0000530,binder
DB13909,BE0000530,carrier
DB13928,BE0000530,substrate
DB13943,BE0000530,other/unknown
DB13943,BE0000685,other/unknown
DB13944,BE0000530,other/unknown
DB13944,BE0000685,other/unknown
DB13946,BE0000530,binder
DB13946,BE0000685,binder
DB13949,BE0000510,binder
DB13949,BE0001155,binder
DB13949,BE0002109,binder
DB13959,BE0000530,binder
DB14003,BE0004020,binder
DB14003,BE0000499,binder
DB14007,BE0000952,substrate
DB14126,BE0000530,binder
DB14185,BE0000530,binder
DB14520,BE0000510,binder
DB14520,BE0001155,binder
DB14520,BE0002109,binder
DB14533,BE0000530,binder
DB14548,BE0000530,binder
DB14582,BE0000530,ligand
DB14582,BE0004879,ligand
DB14631,BE0000209,binder
DB14631,BE0000530,binder
DB14649,BE0000530,binder
DB14669,BE0000209,binder
DB14669,BE0000530,binder
DB14840,BE0000530,binder
DB14840,BE0004879,binder
DB14879,BE0000530,ligand
DB14973,BE0000530,binder
DB14999,BE0000530,binder
DB15059,BE0000530,binder
DB15093,BE0000530,binder
DB15133,BE0000530,binder
DB15133,BE0000925,binder
DB15149,BE0000530,binder
DB15149,BE0000925,binder
DB15171,BE0000530,binder
DB15248,BE0000530,binder
DB15305,BE0000530,binder
DB15444,BE0000530,substrate
DB15456,BE0000530,binder
DB15534,BE0000530,substrate
DB15566,BE0000209,binder
DB15566,BE0000530,binder
DB15575,BE0000530,binder
DB15690,BE0000685,binder
DB15690,BE0000530,binder
DB15935,BE0000530,binder
DB16165,BE0000530,binder
DB16200,BE0000925,binder
DB16200,BE0000530,binder
DB16693,BE0000530,binder
DB16699,BE0000530,ligand
DB16703,BE0000530,binder
DB16703,BE0000925,binder
DB17083,BE0000530,binder
DB18515,BE0000530,binder
