drugbank_id,interactant_id,name,organism,known_action
DB13956,BE0003659,Solute carrier organic anion transporter family member 1B3,Humans,unknown
DB13956,BE0003660,Solute carrier organic anion transporter family member 1C1,Humans,unknown
DB13956,BE0003656,Solute carrier organic anion transporter family member 4A1,Humans,unknown
DB13997,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB13997,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14003,BE0000643,Alpha-tocopherol transfer protein,Humans,no
DB14003,BE0000076,SEC14-like protein 4,Humans,no
DB14003,BE0000256,SEC14-like protein 2,Humans,no
DB14003,BE0000339,SEC14-like protein 3,Humans,no
DB14003,BE0005852,Apolipoprotein B receptor,Humans,no
DB14003,BE0000189,Scavenger receptor class B member 1,Humans,no
DB14003,BE0001032,ATP-dependent translocase ABCB1,Humans,no
DB14006,BE0003647,Solute carrier family 22 member 2,Humans,unknown
DB14006,BE0003648,Solute carrier family 22 member 1,Humans,unknown
DB14006,BE0003650,Solute carrier family 22 member 3,Humans,unknown
DB14006,BE0000106,Organic cation/carnitine transporter 2,Humans,unknown
DB14006,BE0000757,Solute carrier family 22 member 4,Humans,unknown
DB14006,BE0001059,Choline transporter-like protein 1,Humans,unknown
DB14006,BE0002182,Choline transporter-like protein 4,Humans,unknown
DB14006,BE0002184,Choline transporter-like protein 3,Humans,unknown
DB14006,BE0000696,High affinity choline transporter 1,Humans,unknown
DB14009,BE0000785,Multidrug resistance-associated protein 1,Humans,unknown
DB14009,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14009,BE0001204,Equilibrative nucleoside transporter 1,Humans,unknown
DB14009,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14011,BE0000785,Multidrug resistance-associated protein 1,Humans,unknown
DB14011,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14011,BE0001204,Equilibrative nucleoside transporter 1,Humans,unknown
DB14057,BE0000703,Bile salt export pump,Humans,no
DB14057,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14061,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14062,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14063,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14064,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14065,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14066,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14067,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14069,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14126,BE0001032,ATP-dependent translocase ABCB1,Humans,no
DB14126,BE0001066,Solute carrier family 22 member 6,Humans,no
DB14126,BE0003645,Organic anion transporter 3,Humans,no
DB14126,BE0001188,ATP-binding cassette sub-family C member 4,Humans,no
DB14146,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14481,BE0005055,Sodium-dependent phosphate transporter 1,Humans,no
DB14481,BE0008680,Sodium-dependent phosphate transporter 2,Humans,no
DB14481,BE0008681,Sodium-dependent phosphate transport protein 2A,Humans,no
DB14481,BE0008682,Sodium-dependent phosphate transport protein 2B,Humans,no
DB14481,BE0008683,Sodium-dependent phosphate transport protein 2C,Humans,no
DB14481,BE0005102,Transient receptor potential cation channel subfamily V member 6,Humans,no
DB14481,BE0000986,Sodium/calcium exchanger 1,Humans,no
DB14481,BE0005112,Transient receptor potential cation channel subfamily V member 5,Humans,no
DB14481,BE0000739,Ryanodine receptor 1,Humans,unknown
DB14481,BE0005295,Ryanodine receptor 2,Humans,unknown
DB14481,BE0008712,Polycystin-2-like protein 1,Humans,unknown
DB14481,BE0005296,Ryanodine receptor 3,Humans,unknown
DB14481,BE0008713,Polycystin-1-like protein 3,Humans,unknown
DB14481,BE0008714,Cation channel sperm-associated protein 1,Humans,unknown
DB14481,BE0008715,Voltage-dependent L-type calcium channel,Humans,unknown
DB14481,BE0008717,Voltage-dependent P/Q-type calcium channel,Humans,unknown
DB14481,BE0008716,Voltage-dependent T-type calcium channel,Humans,unknown
DB14481,BE0008718,Voltage-dependent R-type calcium channel,Humans,unknown
DB14500,BE0000732,Sodium/potassium-transporting ATPase subunit alpha-1,Humans,unknown
DB14500,BE0000502,Solute carrier family 12 member 1,Humans,unknown
DB14502,BE0005055,Sodium-dependent phosphate transporter 1,Humans,no
DB14502,BE0008680,Sodium-dependent phosphate transporter 2,Humans,no
DB14502,BE0008681,Sodium-dependent phosphate transport protein 2A,Humans,no
DB14502,BE0008682,Sodium-dependent phosphate transport protein 2B,Humans,no
DB14502,BE0008683,Sodium-dependent phosphate transport protein 2C,Humans,no
DB14503,BE0005055,Sodium-dependent phosphate transporter 1,Humans,no
DB14503,BE0008680,Sodium-dependent phosphate transporter 2,Humans,no
DB14503,BE0008681,Sodium-dependent phosphate transport protein 2A,Humans,no
DB14503,BE0008682,Sodium-dependent phosphate transport protein 2B,Humans,no
DB14503,BE0008683,Sodium-dependent phosphate transport protein 2C,Humans,no
DB14509,BE0000190,Amiloride-sensitive sodium channel subunit alpha,Humans,unknown
DB14509,BE0000024,Amiloride-sensitive sodium channel subunit beta,Humans,unknown
