drugbank_id,reaction_id,enzyme_drugbank_id,uniprot_id
DB07919,DB07919_rxn_0,BE0002433,P05177
DB07919,DB07919_rxn_1,BE0002363,P10635
DB08472,DB08472_rxn_0,BE0002793,P11712
DB08472,DB08472_rxn_0,BE0002363,P10635
DB08472,DB08472_rxn_0,BE0003536,P33261
DB08472,DB08472_rxn_0,BE0002362,P20815
DB08472,DB08472_rxn_1,BE0002363,P10635
DB08472,DB08472_rxn_2,BE0002363,P10635
DB08544,DB08544_rxn_0,BE0003536,P33261
DB08544,DB08544_rxn_0,BE0002638,P08684
DB08544,DB08544_rxn_1,BE0002793,P11712
DB08544,DB08544_rxn_1,BE0002363,P10635
DB08544,DB08544_rxn_1,BE0003536,P33261
DB08544,DB08544_rxn_1,BE0002638,P08684
DB08544,DB08544_rxn_1,BE0002362,P20815
DB08544,DB08544_rxn_2,BE0003536,P33261
DB08544,DB08544_rxn_2,BE0002638,P08684
DB08804,DB08804_rxn_0,BE0000627,Q9NP56
DB08804,DB08804_rxn_4,BE0003544,P22310
DB08804,DB08804_rxn_4,BE0003679,P16662
DB08804,DB08804_rxn_4,BE0003681,P06133
DB08804,DB08804_rxn_4,BE0003677,P35503
DB08804,DB08804_rxn_4,BE0003541,P22309
DB08804,DB08804_rxn_5,BE0003679,P16662
DB08804,DB08804_rxn_5,BE0003681,P06133
DB08804,DB08804_rxn_5,BE0003544,P22310
DB08804,DB08804_rxn_5,BE0003678,Q9HAW8
DB08804,DB08804_rxn_5,BE0003677,P35503
DB08804,DB08804_rxn_5,BE0003541,P22309
DB08816,DB08816_rxn_0,BE0002638,P08684
DB08816,DB08816_rxn_0,BE0002362,P20815
DB08820,DB08820_rxn_0,BE0002638,P08684
DB08820,DB08820_rxn_0,BE0002362,P20815
DB08820,DB08820_rxn_1,BE0002638,P08684
DB08820,DB08820_rxn_1,BE0002362,P20815
DB08822,DB08822_rxn_1,BE0002793,P11712
DB08822,DB08822_rxn_2,BE0002887,P10632
DB08822,DB08822_rxn_2,BE0003549,P20813
DB08828,DB08828_rxn_0,BE0002638,P08684
DB08828,DB08828_rxn_0,BE0002362,P20815
DB08828,DB08828_rxn_1,BE0002793,P11712
DB08860,DB08860_rxn_0,BE0003677,P35503
DB08860,DB08860_rxn_0,BE0003679,P16662
DB08860,DB08860_rxn_0,BE0003541,P22309
DB08860,DB08860_rxn_1,BE0002793,P11712
DB08860,DB08860_rxn_1,BE0002887,P10632
DB08860,DB08860_rxn_3,BE0002638,P08684
DB08864,DB08864_rxn_0,BE0002638,P08684
DB08864,DB08864_rxn_0,BE0002362,P20815
DB08864,DB08864_rxn_1,BE0002638,P08684
DB08864,DB08864_rxn_1,BE0002362,P20815
DB08864,DB08864_rxn_2,BE0002638,P08684
DB08864,DB08864_rxn_2,BE0002362,P20815
DB08864,DB08864_rxn_3,BE0002638,P08684
DB08864,DB08864_rxn_3,BE0002362,P20815
DB08864,DB08864_rxn_4,BE0003544,P22310
DB08864,DB08864_rxn_5,BE0003541,P22309
DB08868,DB08868_rxn_0,BE0004728,Q9NYA1
DB08870,DB08870_rxn_0,BE0002638,P08684
DB08877,DB08877_rxn_0,BE0002638,P08684
DB08877,DB08877_rxn_0,BE0002793,P11712
DB08877,DB08877_rxn_1,BE0002638,P08684
DB08877,DB08877_rxn_1,BE0002793,P11712
DB08877,DB08877_rxn_2,BE0002638,P08684
DB08877,DB08877_rxn_2,BE0002793,P11712
